Run	disease	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR448087	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart left ventricle	http://purl.obolibrary.org/obo/UBERON_0002084	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR448089	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart left ventricle	http://purl.obolibrary.org/obo/UBERON_0002084	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR448090	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR448091	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart left ventricle	http://purl.obolibrary.org/obo/UBERON_0002084	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR448092	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR448093	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart left ventricle	http://purl.obolibrary.org/obo/UBERON_0002084	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR448094	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR448095	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448096	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448097	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448098	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448099	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448100	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448101	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448102	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448103	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448104	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448105	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448106	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448107	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448108	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
SRR448109	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	heart right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	Yes
